,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_max_iter,param_multi_class,param_penalty,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
"0,0.132224702835083,0.007554727493499362,0.0008006095886230469,0.00040031082928069063,0.1,False,500,multinomial,,saga,0.001,""{'C': 0.1, 'fit_intercept': False, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': None, 'solver': 'saga', 'tol': 0.001}"",0.7818181818181819,0.7909090909090909,0.7272727272727273,0.8181818181818182,0.7798165137614679,0.7795996663886572,0.029528165912261723,7"
"1,0.01702151298522949,0.0020475383553329096,0.0009304523468017578,0.0001642372543599797,0.1,False,500,multinomial,l2,saga,0.001,""{'C': 0.1, 'fit_intercept': False, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001}"",0.7090909090909091,0.7545454545454545,0.7090909090909091,0.7454545454545455,0.7247706422018348,0.7285904920767307,0.018617814583840264,16"
"2,0.07912554740905761,0.009682876824983226,0.0008630752563476562,0.0002741814903590708,0.1,False,500,multinomial,l1,saga,0.001,""{'C': 0.1, 'fit_intercept': False, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}"",0.7,0.6545454545454545,0.6727272727272727,0.6545454545454545,0.6972477064220184,0.67581317764804,0.01979189884960151,18"
"3,0.1407412052154541,0.004836798997817652,0.0008007526397705078,0.0004003775799111932,0.1,True,500,multinomial,,saga,0.001,""{'C': 0.1, 'fit_intercept': True, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': None, 'solver': 'saga', 'tol': 0.001}"",0.7818181818181819,0.7727272727272727,0.7454545454545455,0.8181818181818182,0.7889908256880734,0.7814345287739785,0.023571099249145723,3"
"4,0.01679849624633789,0.0021368201221120373,0.0008010387420654297,0.0004005225607679539,0.1,True,500,multinomial,l2,saga,0.001,""{'C': 0.1, 'fit_intercept': True, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001}"",0.7454545454545455,0.7181818181818181,0.7181818181818181,0.7727272727272727,0.7522935779816514,0.7413678065054211,0.020950752484782283,15"
"5,0.10014076232910156,0.025791952539552007,0.0006011009216308593,0.000490798167634717,0.1,True,500,multinomial,l1,saga,0.001,""{'C': 0.1, 'fit_intercept': True, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}"",0.6909090909090909,0.7454545454545455,0.7090909090909091,0.6727272727272727,0.6972477064220184,0.7030859049207674,0.02422877498186637,17"
"6,0.1391432285308838,0.004945056222656746,0.0010001182556152344,6.289914111267529e-07,1,False,500,multinomial,,saga,0.001,""{'C': 1, 'fit_intercept': False, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': None, 'solver': 'saga', 'tol': 0.001}"",0.7818181818181819,0.7909090909090909,0.7272727272727273,0.8181818181818182,0.7798165137614679,0.7795996663886572,0.029528165912261723,7"
"7,0.05910835266113281,0.007480743582036488,0.0008008480072021484,0.000400425036344704,1,False,500,multinomial,l2,saga,0.001,""{'C': 1, 'fit_intercept': False, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001}"",0.7636363636363637,0.7818181818181819,0.7454545454545455,0.7909090909090909,0.7614678899082569,0.7686572143452878,0.016022585601512138,13"
"8,0.16399893760681153,0.017797098916707537,0.000799560546875,0.00039978274747760016,1,False,500,multinomial,l1,saga,0.001,""{'C': 1, 'fit_intercept': False, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}"",0.7636363636363637,0.7818181818181819,0.7363636363636363,0.7909090909090909,0.7798165137614679,0.7705087572977481,0.019203281506386054,12"
"9,0.1452012538909912,0.008280346584002347,0.000999307632446289,1.0512069551967909e-06,1,True,500,multinomial,,saga,0.001,""{'C': 1, 'fit_intercept': True, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': None, 'solver': 'saga', 'tol': 0.001}"",0.7818181818181819,0.7727272727272727,0.7454545454545455,0.8181818181818182,0.7889908256880734,0.7814345287739785,0.023571099249145723,3"
"10,0.06579909324645997,0.007935037319201789,0.0006000995635986328,0.0004899793115016344,1,True,500,multinomial,l2,saga,0.001,""{'C': 1, 'fit_intercept': True, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001}"",0.7818181818181819,0.7545454545454545,0.7454545454545455,0.8,0.7614678899082569,0.7686572143452878,0.019721933331102774,13"
"11,0.1784053325653076,0.017165479381441983,0.0010004520416259765,1.1911388394161982e-06,1,True,500,multinomial,l1,saga,0.001,""{'C': 1, 'fit_intercept': True, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': 'l1', 'solver': 'saga', 'tol': 0.001}"",0.8,0.7636363636363637,0.7454545454545455,0.8090909090909091,0.7614678899082569,0.775929941618015,0.024364113958104783,11"
"12,0.1448050022125244,0.009177478202632995,0.0008040904998779297,0.00040209389425502817,10,False,500,multinomial,,saga,0.001,""{'C': 10, 'fit_intercept': False, 'max_iter': 500, 'multi_class': 'multinomial', 'penalty': None, 'solver': 'saga', 'tol': 0.001}"",0.7818181818181819,0.7909090909090909,0.7272727272727273,0.8181818181818182,0.7798165137614679,0.7795996663886572,0.029528165912261723,7"
